SID,Collection_Date,Taxon_name,RelAbund
14128,1992/08/11,Etheostoma olmstedi,84
14128,1992/08/11,Lepomis auritus,2
14128,1992/08/11,Lepomis macrochirus,1.5
14128,1992/08/11,Luxilus cornutus,54.5
14128,1992/08/11,Salmo trutta,0.5
14128,1992/08/11,Semotilus corporalis,59
14128,2011/07/08,Etheostoma olmstedi,4
14128,2011/07/08,Lepomis macrochirus,5.3333333333333
14128,2011/07/08,Luxilus cornutus,1.3333333333333
14128,2011/07/08,Salmo trutta,2
14129,1991/06/17,Etheostoma olmstedi,0.6666666666667
14129,1991/06/17,Salmo trutta,6
14129,1991/06/17,Salvelinus fontinalis,4
14129,2006/08/09,Salmo trutta,47.741935483871
14129,2011/07/27,Anguilla rostrata,0.6451612903226
14129,2011/07/27,Lepomis macrochirus,1.2903225806452
14129,2011/07/27,Luxilus cornutus,0.6451612903226
14129,2016/07/22,Salvelinus fontinalis,1.7857142857143
14130,1991/07/09,Etheostoma olmstedi,58.2608695652174
14130,1991/07/09,Lepomis auritus,3.4782608695652
14130,1991/07/09,Lepomis macrochirus,3.4782608695652
14133,2011/07/11,Cottus cognatus,16.8316831683168
14133,2011/07/11,Cottus cognatus,16.8316831683168
14133,2011/07/11,Lepomis macrochirus,1.980198019802
14133,2011/07/11,Lepomis macrochirus,1.980198019802
14133,2011/07/11,Luxilus cornutus,12.8712871287129
14133,2011/07/11,Luxilus cornutus,12.8712871287129
14133,2011/07/11,Salmo trutta,3.960396039604
14133,2011/07/11,Salmo trutta,2.970297029703
14133,2011/07/11,Salvelinus fontinalis,0.990099009901
14133,2011/07/11,Salvelinus fontinalis,0.990099009901
14137,2009/07/20,Anguilla rostrata,22.3076923076923
14137,2009/07/20,Etheostoma olmstedi,3.8461538461539
14137,2009/07/20,Luxilus cornutus,60
14137,2009/07/20,Semotilus corporalis,21.5384615384615
14138,1999/08/02,Etheostoma olmstedi,4.5161290322581
14138,1999/08/02,Luxilus cornutus,2.5806451612903
14138,1999/08/02,Salmo trutta,16.7741935483871
14138,1999/08/02,Salmo trutta,0.6451612903226
14141,1994/06/22,Cottus cognatus,123
14141,1994/06/22,Salvelinus fontinalis,136
14145,2006/06/12,Ambloplites rupestris,2.9411764705882
14145,2006/06/12,Etheostoma olmstedi,0.9803921568627
14145,2006/06/12,Lepomis auritus,0.9803921568627
14145,2006/06/12,Lepomis macrochirus,2.9411764705882
14145,2006/06/12,Micropterus dolomieu,1.9607843137255
14145,2006/06/12,Semotilus corporalis,0.9803921568627
14146,1990/06/26,Anguilla rostrata,38
14146,1990/06/26,Lepomis macrochirus,2
14146,1990/06/26,Salmo trutta,4
14146,1990/06/26,Salvelinus fontinalis,2
14146,2007/07/23,Ameiurus nebulosus,1.6666666666667
14146,2007/07/23,Anguilla rostrata,14.1666666666667
14146,2007/07/23,Lepomis macrochirus,0.8333333333333
14146,2007/07/23,Salmo trutta,15
14146,2012/07/05,Anguilla rostrata,21.8181818181818
14146,2012/07/05,Lepomis macrochirus,3.6363636363636
14146,2012/07/05,Salmo trutta,50.9090909090909
14146,2013/07/30,Anguilla rostrata,118
14146,2013/07/30,Lepomis macrochirus,46
14146,2013/07/30,Salmo trutta,18
14146,2013/07/30,Semotilus corporalis,2
14147,1999/06/24,Anguilla rostrata,47.4683544303797
14147,1999/06/24,Lepomis macrochirus,0.6329113924051
14147,1999/06/24,Salmo trutta,12.0253164556962
14147,1999/06/24,Salvelinus fontinalis,0.6329113924051
14147,1999/06/24,Semotilus corporalis,1.8987341772152
14147,2008/07/09,Anguilla rostrata,26.6666666666667
14147,2008/07/09,Etheostoma olmstedi,4.7619047619048
14147,2008/07/09,Lepomis macrochirus,6.6666666666667
14147,2008/07/09,Salmo trutta,6.6666666666667
14147,2008/07/09,Salvelinus fontinalis,0.952380952381
14147,2008/07/09,Semotilus corporalis,10.4761904761905
14147,2008/08/30,Anguilla rostrata,26.6666666666667
14147,2008/08/30,Etheostoma olmstedi,2.2222222222222
14147,2008/08/30,Lepomis macrochirus,3.3333333333333
14147,2008/08/30,Semotilus corporalis,8.8888888888889
14149,2015/07/13,Anguilla rostrata,4.8543689320388
14149,2015/07/13,Etheostoma olmstedi,19.4174757281553
14149,2015/07/13,Lepomis auritus,7.7669902912621
14150,1990/08/20,Anguilla rostrata,153.333333333333
14150,1990/08/20,Etheostoma olmstedi,4
14150,1990/08/20,Lepomis auritus,6.6666666666667
14150,1990/08/20,Lepomis macrochirus,1.3333333333333
14150,1990/08/20,Semotilus corporalis,47.3333333333333
14150,1999/08/09,Anguilla rostrata,78
14150,1999/08/09,Etheostoma olmstedi,7.3333333333333
14150,1999/08/09,Lepomis auritus,45.3333333333333
14150,1999/08/09,Luxilus cornutus,1.3333333333333
14150,1999/08/09,Semotilus corporalis,77.3333333333333
14150,2007/06/12,Anguilla rostrata,204.615384615385
14150,2007/06/12,Anguilla rostrata,24.6153846153846
14150,2007/06/12,Lepomis auritus,6.9230769230769
14150,2007/06/12,Lepomis macrochirus,1.5384615384615
14152,2007/07/30,Salvelinus fontinalis,56
14153,2008/06/05,Ambloplites rupestris,3.3333333333333
14153,2008/06/05,Anguilla rostrata,32
14153,2008/06/05,Etheostoma olmstedi,12
14153,2008/06/05,Lepomis auritus,2
14153,2008/06/05,Lepomis macrochirus,17.3333333333333
14153,2008/06/05,Salvelinus fontinalis,0.6666666666667
